EventType;T;X;Y;P;Altitude;Azimuth;Distance
3;302085;52286;32460;0;710;470;272
3;302091;52286;32466;0;710;470;272
3;302096;52286;32466;0;710;470;272
3;302101;52282;32466;0;710;470;272
3;302107;52265;32463;0;710;470;272
3;302112;52246;32460;0;710;470;260
3;302118;52230;32443;0;710;470;260
3;302123;52224;32419;0;710;470;260
3;302128;52216;32414;0;710;470;252
3;302134;52195;32410;0;720;450;240
3;302139;52182;32400;0;300;80;220
3;302144;52181;32392;0;300;80;208
3;302150;52181;32384;0;300;80;196
3;302155;52192;32380;0;300;80;188
3;302160;52205;32377;0;300;80;176
3;302166;52214;32371;0;300;80;168
3;302171;52218;32370;0;300;80;168
3;302177;52226;32369;0;300;80;168
3;302182;52226;32366;0;300;80;168
3;302187;52226;32366;0;300;80;168
3;302193;52207;32365;0;300;80;168
3;302198;52183;32362;0;300;80;176
3;302203;52161;32357;0;300;80;176
3;302209;52140;32354;0;300;80;176
3;302214;52122;32348;0;300;80;188
3;302219;52109;32336;0;300;80;176
3;302225;52106;32334;0;300;80;176
3;302230;52102;32331;0;300;80;176
3;302235;52092;32327;0;300;80;168
3;302241;52089;32327;0;300;80;168
3;302246;52085;32333;0;300;80;156
3;302252;52081;32337;0;300;80;144
3;302257;52079;32354;0;300;80;144
3;302262;52073;32366;0;300;80;144
3;302268;52063;32378;0;300;80;136
3;302273;52053;32382;0;300;80;136
3;302278;52040;32393;0;300;80;136
3;302284;52027;32399;0;300;80;136
3;302289;52014;32401;0;300;80;124
3;302294;52000;32401;0;300;80;124
3;302300;51984;32401;0;300;80;124
3;302305;51968;32401;0;300;80;112
3;302311;51950;32401;0;300;80;112
3;302316;51932;32401;0;300;80;112
3;302321;51914;32399;0;300;80;104
3;302327;51896;32397;0;300;80;104
3;302332;51878;32397;0;300;80;92
3;302337;51859;32397;0;300;80;84
3;302343;51837;32400;0;300;80;72
3;302348;51815;32407;0;300;80;72
3;302353;51792;32415;0;310;80;60
3;302359;51766;32423;0;330;90;52
3;302364;51738;32434;0;340;90;28
3;302370;51707;32447;0;350;90;20
3;302375;51674;32464;0;360;100;8
3;302380;51641;32481;0;370;110;0
3;302386;51610;32497;0;380;110;0
3;302391;51583;32512;0;390;120;0
3;302396;51516;32542;0;400;120;0
3;302402;51454;32569;0;410;130;0
1;302403;51395;32596;1360;420;130;0
1;302404;51395;32596;3937;430;140;0
1;302405;51395;32596;4866;430;140;0
1;302408;51395;32596;5474;440;140;0
1;302414;51395;32596;6691;440;140;0
1;302419;51293;32660;8195;450;140;0
1;302424;51284;32666;9764;450;140;0
1;302430;51276;32671;10981;460;150;0
1;302435;51268;32675;12181;460;150;0
1;302440;51262;32677;13446;460;160;0
1;302446;51254;32680;14726;460;160;0
1;302451;51245;32685;15863;470;170;0
1;302457;51235;32689;16951;470;150;0
1;302462;51226;32694;17944;470;150;0
1;302467;51218;32698;18776;480;160;0
1;302473;51214;32699;19272;480;160;0
1;302478;51212;32700;19608;480;160;0
1;302483;51212;32701;19849;480;170;0
1;302489;51212;32702;20073;480;170;0
1;302494;51219;32702;20313;490;180;0
1;302499;51233;32702;20409;490;180;0
1;302505;51253;32702;20553;490;180;0
1;302510;51277;32702;21081;490;180;0
1;302515;51312;32702;21257;490;180;0
1;302521;51359;32699;21385;490;170;0
1;302526;51408;32693;21593;490;170;0
1;302532;51456;32688;21898;490;170;0
1;302537;51506;32682;21962;490;170;0
1;302542;51561;32677;22282;490;170;0
1;302548;51616;32672;22282;490;170;0
1;302553;51687;32664;22234;480;150;0
1;302558;51770;32655;22234;480;150;0
1;302564;51836;32649;22138;480;150;0
1;302569;51902;32643;21978;470;140;0
1;302574;51965;32638;21737;460;140;0
1;302580;52023;32635;21449;460;130;0
1;302585;52080;32632;20793;460;130;0
1;302591;52147;32627;20233;460;130;0
1;302596;52196;32624;18984;450;120;0
1;302601;52238;32622;17736;450;120;0
1;302607;52278;32620;16471;450;120;0
1;302612;52301;32620;14806;450;120;0
1;302617;52326;32620;12885;440;120;0
1;302623;52340;32620;11109;440;120;0
1;302628;52356;32624;9316;440;110;0
1;302633;52374;32628;7219;440;110;0
1;302639;52387;32631;5266;440;110;0
1;302644;52395;32631;2945;440;110;0
3;302649;52395;32631;0;440;110;0
3;302655;52373;32617;0;430;100;0
3;302660;52351;32594;0;430;100;0
3;302666;52328;32570;0;420;100;0
3;302671;52319;32543;0;420;100;0
3;302676;52302;32506;0;420;100;0
3;302682;52283;32474;0;410;100;8
3;302687;52266;32435;0;410;100;8
3;302692;52249;32398;0;410;100;8
3;302698;52239;32376;0;400;90;8
3;302703;52226;32353;0;410;100;8
3;302708;52209;32324;0;410;100;0
3;302714;52189;32297;0;410;110;0
3;302719;52165;32272;0;410;110;0
3;302725;52122;32240;0;410;110;0
3;302730;52083;32215;0;410;110;0
1;302731;52046;32196;5794;420;110;0
1;302732;52046;32196;8371;420;110;0
1;302733;52046;32196;9940;420;110;0
1;302734;52046;32196;10900;420;110;0
1;302736;52046;32196;12245;420;110;0
1;302742;52046;32196;13590;420;110;0
1;302747;52046;32196;14774;420;110;0
1;302752;52046;32196;15655;430;130;0
1;302758;52046;32196;16439;430;130;0
1;302763;52046;32196;17207;440;120;0
1;302769;52046;32196;17864;440;120;0
1;302774;52046;32196;18328;440;120;0
1;302779;52046;32196;19032;440;120;0
1;302785;52046;32196;19929;440;120;0
1;302790;51977;32276;20489;450;120;0
1;302795;51978;32323;21177;450;120;0
1;302801;51979;32369;21898;450;120;0
1;302806;51979;32412;22570;450;110;0
1;302811;51979;32453;23322;460;120;0
1;302817;51979;32501;23370;450;120;0
1;302822;51979;32555;23658;460;130;0
1;302828;51979;32618;23866;450;120;0
1;302833;51979;32685;23962;460;130;0
1;302838;51979;32750;24155;450;120;0
1;302844;51979;32817;24203;450;120;0
1;302849;51979;32878;24235;440;120;0
1;302854;51979;32935;24235;440;120;0
1;302860;51979;32989;24203;430;120;0
1;302865;51979;33039;23802;420;110;0
1;302870;51978;33083;23338;410;120;0
1;302876;51976;33126;22362;410;100;0
1;302881;51973;33158;20889;410;110;0
1;302886;51969;33189;18680;410;110;0
1;302892;51964;33212;15975;410;110;0
1;302897;51958;33230;11797;410;110;0
1;302903;51953;33247;6643;410;110;0
3;302908;51953;33247;0;410;100;0
3;302913;51895;33233;0;410;100;0
3;302919;51865;33199;0;390;100;44
3;302924;51828;33170;0;390;90;100
3;302929;51816;33122;0;390;90;160
3;302935;51802;33061;0;390;90;216
3;302940;51772;32987;0;390;90;272
3;302945;51772;32987;0;900;0;272
