EventType;T;X;Y;P;Altitude;Azimuth;Distance
3;146342;24064;2099;0;650;1220;461
3;146348;24064;2099;0;650;1200;461
3;146353;24064;2099;0;650;1200;461
3;146359;24062;2099;0;650;1180;461
3;146364;24061;2099;0;660;1160;461
3;146369;24061;2099;0;660;1140;461
3;146375;24061;2099;0;670;1110;461
3;146380;24061;2099;0;670;1090;449
3;146385;24061;2101;0;670;1070;449
3;146391;24061;2104;0;670;1050;449
3;146396;24061;2106;0;680;1000;441
3;146401;24058;2110;0;680;970;429
3;146407;24049;2115;0;680;920;421
3;146412;24042;2116;0;680;900;409
3;146418;24035;2117;0;670;880;401
3;146423;24035;2117;0;670;830;393
3;146428;24035;2117;0;670;810;381
3;146434;24035;2117;0;670;780;381
3;146439;24035;2117;0;660;760;373
3;146444;24024;2117;0;660;740;361
3;146450;23999;2125;0;660;720;353
3;146455;23954;2130;0;660;700;341
3;146460;23885;2144;0;650;670;332
3;146466;23816;2152;0;650;650;320
3;146471;23785;2161;0;650;630;312
3;146476;23752;2169;0;640;610;304
3;146482;23721;2169;0;640;600;284
3;146487;23692;2169;0;630;580;272
3;146493;23667;2162;0;630;580;264
3;146498;23644;2148;0;630;560;244
3;146503;23622;2129;0;620;540;232
3;146509;23602;2124;0;620;530;224
3;146514;23581;2120;0;620;530;224
3;146519;23559;2110;0;610;510;212
3;146525;23538;2102;0;610;510;204
3;146530;23516;2096;0;610;490;204
3;146535;23493;2090;0;610;490;196
3;146541;23471;2086;0;600;480;196
3;146546;23450;2083;0;600;480;184
3;146552;23430;2081;0;610;460;184
3;146557;23414;2079;0;600;450;184
3;146562;23399;2077;0;600;450;176
3;146568;23387;2074;0;600;450;164
3;146573;23384;2072;0;600;440;164
3;146578;23376;2070;0;600;440;156
3;146584;23370;2069;0;600;440;144
3;146589;23366;2068;0;590;420;144
3;146594;23363;2067;0;590;420;136
3;146600;23361;2067;0;590;420;124
3;146605;23360;2067;0;590;420;116
3;146611;23358;2067;0;580;410;104
3;146616;23356;2067;0;580;410;96
3;146621;23354;2067;0;580;410;88
3;146627;23349;2067;0;580;410;76
3;146632;23345;2067;0;580;400;76
3;146637;23341;2067;0;580;400;68
3;146643;23335;2067;0;580;400;56
3;146648;23329;2067;0;570;380;48
3;146653;23324;2069;0;570;380;36
3;146659;23318;2070;0;570;380;36
3;146664;23312;2071;0;560;370;28
