EventType;T;X;Y;P;Altitude;Azimuth;Distance
3;135723;21966;24308;0;630;250;429
3;135729;21971;24281;0;630;250;421
3;135734;21976;24276;0;620;240;421
3;135740;21977;24247;0;620;240;409
3;135745;21979;24211;0;630;250;389
3;135750;21979;24172;0;630;250;381
3;135756;21979;24135;0;630;250;361
3;135761;21980;24125;0;630;250;349
3;135766;21980;24118;0;630;250;341
3;135772;21979;24112;0;630;260;328
3;135777;21965;24092;0;620;250;320
3;135782;21941;24083;0;610;270;308
3;135788;21905;24082;0;610;270;300
3;135793;21877;24082;0;610;270;300
3;135799;21843;24082;0;610;270;300
3;135804;21805;24082;0;610;290;300
3;135809;21762;24082;0;610;290;300
3;135815;21718;24082;0;610;290;300
3;135820;21668;24082;0;600;300;308
3;135825;21614;24082;0;600;300;320
3;135831;21548;24082;0;600;300;341
3;135836;21485;24082;0;600;300;361
3;135841;21419;24082;0;600;300;369
3;135847;21352;24082;0;600;320;381
3;135852;21296;24082;0;600;320;381
3;135857;21232;24082;0;600;320;381
3;135863;21171;24082;0;600;320;381
3;135868;21115;24087;0;600;320;369
3;135874;21062;24101;0;600;320;361
3;135879;21019;24120;0;600;320;369
3;135884;20986;24145;0;600;340;369
3;135890;20961;24160;0;600;340;369
3;135895;20938;24167;0;600;340;369
3;135900;20924;24190;0;600;340;361
3;135906;20920;24195;0;600;340;349
3;135911;20919;24200;0;600;350;349
3;135916;20918;24205;0;600;350;341
3;135922;20914;24215;0;600;350;320
3;135927;20912;24225;0;600;350;300
3;135933;20912;24233;0;600;350;288
3;135938;20912;24240;0;600;350;268
3;135943;20912;24246;0;600;350;260
3;135949;20912;24254;0;600;350;240
3;135954;20912;24256;0;600;350;228
3;135959;20913;24256;0;600;350;200
3;135965;20914;24256;0;600;360;160
3;135970;20914;24247;0;600;360;128
3;135975;20916;24234;0;600;360;108
3;135981;20918;24218;0;600;360;108
3;135986;20920;24201;0;590;350;108
3;135992;20923;24182;0;590;350;100
3;135997;20925;24162;0;590;350;100
3;136002;20927;24144;0;590;350;100
3;136008;20929;24125;0;590;350;100
3;136013;20929;24109;0;590;350;100
3;136018;20929;24094;0;590;350;88
3;136024;20929;24083;0;590;350;80
3;136029;20929;24074;0;590;350;68
3;136034;20925;24069;0;590;350;60
3;136040;20919;24066;0;590;350;40
3;136045;20913;24065;0;590;350;28
3;136050;20906;24065;0;590;350;8
3;136056;20898;24065;0;590;350;0
3;136061;20890;24066;0;590;350;0
3;136067;20881;24072;0;590;350;0
3;136072;20872;24078;0;590;350;0
3;136077;20863;24084;0;590;350;0
3;136083;20854;24090;0;590;350;0
3;136088;20845;24095;0;590;350;0
3;136093;20836;24101;0;590;350;0
3;136099;20828;24105;0;590;350;0
3;136104;20820;24108;0;590;350;0
3;136109;20813;24112;0;590;350;0
3;136115;20805;24115;0;590;350;0
3;136120;20799;24119;0;590;350;0
3;136126;20793;24123;0;590;350;0
3;136131;20788;24127;0;590;370;0
3;136136;20783;24132;0;590;370;0
3;136142;20778;24137;0;590;370;0
3;136147;20774;24144;0;590;370;0
3;136152;20771;24149;0;590;370;0
3;136158;20768;24154;0;590;370;0
3;136163;20766;24158;0;590;370;0
3;136168;20766;24161;0;590;370;0
3;136174;20766;24164;0;590;370;0
3;136179;20766;24166;0;590;370;0
3;136184;20766;24168;0;590;370;0
3;136190;20766;24169;0;590;370;0
3;136195;20768;24171;0;590;370;0
3;136201;20773;24171;0;590;370;0
3;136206;20778;24173;0;590;370;0
3;136211;20783;24175;0;590;370;0
3;136217;20789;24177;0;590;370;0
3;136222;20793;24181;0;590;370;0
3;136227;20797;24184;0;590;370;40
3;136233;20800;24188;0;590;370;84
3;136238;20801;24191;0;590;370;128
3;136243;20803;24195;0;590;370;164
3;136249;20804;24198;0;590;370;172
3;136254;20807;24204;0;590;370;172
3;136260;20809;24209;0;590;370;172
3;136265;20811;24216;0;590;370;172
3;136270;20813;24221;0;590;370;172
3;136276;20815;24228;0;590;370;172
3;136281;20817;24233;0;590;370;172
3;136286;20820;24240;0;590;370;164
3;136292;20822;24244;0;590;370;164
3;136297;20824;24248;0;590;370;164
3;136302;20827;24250;0;590;370;164
3;136308;20831;24252;0;590;370;164
3;136313;20836;24254;0;590;370;164
3;136319;20842;24255;0;590;370;164
3;136324;20849;24256;0;590;370;164
3;136329;20856;24256;0;590;370;156
3;136335;20864;24257;0;590;370;156
3;136340;20872;24257;0;590;370;156
3;136345;20881;24258;0;590;370;156
3;136351;20889;24259;0;590;370;164
3;136356;20896;24260;0;590;370;164
3;136361;20904;24262;0;590;370;164
3;136367;20911;24263;0;590;370;164
3;136372;20919;24266;0;590;370;164
3;136377;20930;24268;0;590;370;164
3;136383;20934;24270;0;590;370;164
3;136388;20941;24273;0;590;370;164
3;136394;20948;24276;0;590;370;164
3;136399;20954;24279;0;590;370;164
3;136404;20960;24283;0;590;370;164
3;136410;20965;24286;0;590;370;164
3;136415;20968;24289;0;590;370;164
3;136420;20972;24293;0;590;370;164
3;136426;20975;24295;0;590;370;164
3;136431;20978;24298;0;590;370;164
3;136436;20981;24299;0;590;370;164
3;136442;20985;24300;0;590;370;164
3;136447;20990;24300;0;590;370;164
3;136453;20994;24300;0;590;370;164
3;136458;21000;24300;0;590;370;164
3;136463;21005;24300;0;590;370;164
3;136469;21011;24300;0;590;370;164
3;136474;21016;24300;0;590;370;164
3;136479;21019;24300;0;590;370;172
3;136485;21024;24300;0;590;370;172
3;136490;21030;24300;0;590;370;172
3;136495;21035;24300;0;590;370;172
3;136501;21040;24300;0;590;370;172
3;136506;21044;24300;0;590;370;172
3;136512;21048;24300;0;590;370;172
3;136517;21051;24300;0;590;370;172
3;136522;21054;24301;0;590;370;172
3;136528;21057;24302;0;590;370;172
3;136533;21060;24303;0;590;370;172
3;136538;21063;24305;0;590;370;172
3;136544;21066;24306;0;590;370;172
3;136549;21069;24308;0;590;370;172
3;136554;21071;24309;0;590;370;172
3;136560;21074;24309;0;590;370;172
3;136565;21077;24309;0;590;370;172
3;136570;21080;24309;0;590;370;172
3;136576;21084;24309;0;590;370;172
3;136581;21088;24309;0;590;370;172
3;136587;21093;24309;0;590;370;172
3;136592;21097;24309;0;590;370;172
3;136597;21103;24309;0;590;370;172
3;136603;21109;24309;0;590;370;172
3;136608;21116;24309;0;590;370;172
3;136613;21122;24310;0;590;370;172
3;136619;21127;24312;0;590;370;172
3;136624;21133;24313;0;590;370;180
3;136629;21139;24315;0;590;370;180
3;136635;21144;24316;0;590;370;180
3;136640;21149;24318;0;590;370;180
3;136646;21152;24320;0;590;370;180
3;136651;21155;24323;0;590;370;180
3;136656;21157;24326;0;590;370;180
3;136662;21157;24329;0;590;370;180
3;136667;21157;24333;0;590;370;180
3;136672;21157;24336;0;590;370;180
3;136678;21155;24340;0;590;370;180
3;136683;21151;24343;0;590;370;180
3;136688;21145;24347;0;590;370;180
3;136694;21139;24350;0;590;370;180
3;136699;21133;24353;0;590;370;180
3;136705;21128;24356;0;590;370;180
3;136710;21123;24358;0;590;370;180
3;136715;21119;24360;0;590;370;180
3;136721;21116;24362;0;590;370;180
3;136726;21113;24364;0;590;370;180
3;136731;21110;24366;0;590;370;180
3;136737;21107;24368;0;590;370;180
3;136742;21103;24370;0;590;370;180
3;136747;21099;24372;0;590;370;180
3;136753;21095;24374;0;590;370;180
3;136758;21090;24377;0;590;370;172
3;136763;21084;24379;0;590;370;172
3;136769;21077;24381;0;590;370;172
3;136774;21064;24383;0;590;370;172
3;136780;21050;24387;0;590;350;164
3;136785;21039;24388;0;590;350;164
3;136790;21027;24389;0;590;350;164
3;136796;21016;24389;0;590;350;164
3;136801;21004;24389;0;590;350;164
3;136806;20993;24389;0;590;350;164
3;136812;20982;24389;0;590;350;164
3;136817;20972;24389;0;590;350;164
3;136822;20963;24389;0;590;350;164
3;136828;20959;24389;0;590;350;156
3;136833;20950;24389;0;590;350;156
3;136839;20942;24389;0;590;350;156
3;136844;20936;24389;0;590;350;156
3;136849;20929;24389;0;590;350;156
