EventType;T;X;Y;P;Altitude;Azimuth;Distance
3;4342;1590;19457;0;280;2920;280
3;4348;1596;19464;0;280;2920;449
3;4353;1619;19483;0;280;2910;449
3;4359;1626;19489;0;280;2910;449
3;4364;1653;19511;0;280;2910;449
3;4369;1680;19531;0;280;2910;449
3;4375;1703;19547;0;280;2910;449
3;4380;1733;19549;0;280;2910;449
3;4385;1774;19586;0;300;2920;441
3;4391;1823;19631;0;320;2940;441
3;4396;1881;19665;0;330;2950;429
3;4401;1936;19674;0;360;2980;421
3;4407;1981;19679;0;370;2990;409
3;4412;2015;19681;0;400;3010;401
3;4418;2043;19682;0;410;3030;389
3;4423;2066;19690;0;430;3060;381
3;4428;2088;19690;0;440;3080;381
3;4434;2108;19681;0;460;3100;369
3;4439;2129;19658;0;470;3130;361
3;4444;2148;19629;0;490;3140;349
3;4450;2167;19608;0;500;3160;341
3;4455;2185;19588;0;510;3180;328
3;4460;2204;19570;0;520;3210;308
3;4466;2222;19551;0;530;3220;300
3;4471;2239;19534;0;540;3250;288
3;4476;2256;19518;0;550;3270;280
3;4482;2273;19504;0;550;3290;268
3;4487;2288;19491;0;560;3320;260
3;4493;2302;19479;0;560;3330;248
3;4498;2315;19474;0;560;3340;240
3;4503;2319;19469;0;570;3360;228
3;4509;2324;19460;0;570;3370;220
3;4514;2333;19452;0;570;3390;220
3;4519;2341;19444;0;570;3410;208
3;4525;2350;19437;0;580;3420;200
3;4530;2356;19431;0;580;3440;200
3;4535;2362;19426;0;580;3450;188
3;4541;2368;19421;0;580;3450;188
3;4546;2373;19418;0;580;3470;180
3;4552;2380;19414;0;580;3470;168
3;4557;2384;19413;0;580;3480;168
3;4562;2387;19412;0;580;3480;160
3;4568;2390;19412;0;590;3500;160
3;4573;2391;19412;0;590;3500;148
3;4578;2392;19412;0;590;3520;148
3;4584;2392;19412;0;590;3520;140
3;4589;2392;19412;0;590;3530;140
3;4594;2392;19412;0;590;3530;128
3;4600;2392;19412;0;590;3530;128
3;4605;2392;19413;0;590;3550;120
3;4611;2391;19415;0;590;3550;120
3;4616;2388;19416;0;590;3550;108
3;4621;2386;19417;0;590;3570;108
3;4627;2384;19418;0;590;3570;100
3;4632;2383;19419;0;590;3570;100
3;4637;2383;19420;0;590;3570;88
3;4643;2383;19420;0;590;3580;88
3;4648;2383;19420;0;590;3580;88
3;4653;2383;19420;0;590;3580;88
3;4659;2383;19420;0;590;3580;80
3;4664;2384;19420;0;590;0;80
3;4669;2384;19420;0;590;0;80
3;4675;2384;19420;0;590;0;80
3;4680;2384;19420;0;590;0;68
3;4686;2384;19420;0;590;20;68
3;4691;2384;19420;0;590;20;68
3;4696;2384;19420;0;590;20;60
3;4702;2384;19420;0;590;20;60
3;4707;2384;19420;0;590;30;60
3;4712;2384;19420;0;590;30;48
3;4718;2384;19420;0;590;30;48
3;4723;2384;19420;0;590;30;48
3;4728;2384;19420;0;590;30;40
3;4734;2384;19420;0;590;30;40
3;4739;2384;19420;0;590;50;40
3;4745;2384;19420;0;590;50;40
3;4750;2384;19420;0;590;50;28
3;4755;2384;19420;0;590;50;28
3;4761;2384;19420;0;590;50;28
3;4766;2384;19420;0;590;50;28
3;4771;2384;19420;0;590;50;28
3;4777;2384;19420;0;590;50;28
3;4782;2384;19420;0;590;50;28
3;4787;2384;19420;0;580;50;20
3;4793;2384;19420;0;580;50;20
3;4798;2384;19420;0;580;50;20
3;4803;2384;19420;0;580;50;20
3;4809;2384;19420;0;580;60;20
3;4814;2384;19420;0;580;60;20
3;4820;2384;19420;0;580;60;20
3;4825;2384;19420;0;580;60;20
3;4830;2384;19420;0;580;60;20
3;4836;2384;19420;0;580;60;0
3;4841;2385;19414;0;580;60;0
1;4842;2387;19405;720;580;60;0
1;4843;2387;19405;1488;580;60;0
1;4844;2387;19405;2193;580;60;0
1;4845;2387;19405;2977;580;60;0
1;4846;2387;19405;3793;580;60;0
1;4852;2387;19405;4610;580;60;0
1;4857;2387;19405;5410;580;60;0
1;4862;2387;19405;6050;580;60;0
1;4868;2387;19405;6691;580;60;0
1;4873;2387;19405;7347;580;60;0
1;4878;2387;19405;8035;580;60;0
1;4884;2387;19405;8691;580;60;0
1;4889;2387;19405;9268;580;60;0
1;4894;2387;19405;9876;580;60;0
1;4900;2401;19310;10548;580;60;0
1;4905;2397;19301;11077;580;60;0
1;4911;2392;19290;11477;580;60;0
1;4916;2386;19279;11941;580;60;0
1;4921;2380;19267;12485;580;60;0
1;4927;2374;19257;12949;580;60;0
1;4932;2366;19250;13446;580;60;0
1;4937;2356;19244;14022;580;60;0
1;4943;2343;19240;14470;580;80;0
1;4948;2329;19238;14806;580;80;0
1;4953;2313;19238;15046;580;80;0
1;4959;2296;19238;15174;580;80;0
1;4964;2277;19238;15270;580;80;0
1;4970;2254;19238;15270;580;80;0
1;4975;2228;19242;15270;580;80;0
1;4980;2199;19253;15190;580;80;0
1;4986;2164;19269;15062;580;100;0
1;4991;2129;19290;14838;580;100;0
1;4996;2093;19314;14758;580;100;0
1;5002;2060;19342;14486;580;100;0
1;5007;2030;19373;14262;580;100;0
1;5012;2007;19405;14070;580;100;0
1;5018;1990;19439;14054;580;100;0
1;5023;1979;19473;13814;580;100;0
1;5028;1975;19506;13206;580;100;0
1;5034;1975;19538;13174;580;100;0
1;5039;1975;19567;12933;580;100;0
1;5045;1982;19594;12469;580;100;0
