EventType;T;X;Y;P;Altitude;Azimuth;Distance
3;323522;49439;3843;0;770;130;441
3;323527;49448;3813;0;760;120;433
3;323532;49459;3802;0;760;120;433
3;323538;49466;3760;0;760;120;433
3;323543;49472;3715;0;760;120;425
3;323548;49477;3669;0;760;120;417
3;323554;49479;3626;0;750;150;397
3;323559;49498;3586;0;750;110;389
3;323564;49516;3547;0;750;110;373
3;323570;49537;3511;0;740;100;365
3;323575;49564;3477;0;740;100;357
3;323580;49584;3445;0;730;100;349
3;323586;49604;3416;0;730;100;341
3;323591;49625;3389;0;720;90;328
3;323597;49643;3367;0;720;60;328
3;323602;49661;3346;0;720;60;320
3;323607;49678;3331;0;720;60;320
3;323613;49695;3327;0;710;60;320
3;323618;49709;3323;0;710;60;320
3;323623;49714;3320;0;710;60;320
3;323629;49719;3312;0;710;60;320
3;323634;49724;3308;0;700;30;320
3;323639;49741;3305;0;700;30;312
3;323645;49746;3303;0;700;30;312
3;323650;49764;3303;0;700;30;312
3;323656;49783;3302;0;700;30;304
3;323661;49805;3301;0;690;0;304
3;323666;49822;3300;0;690;0;296
3;323672;49842;3298;0;690;0;296
3;323677;49863;3296;0;690;0;288
3;323682;49884;3292;0;690;0;288
3;323688;49906;3288;0;680;0;280
3;323693;49928;3283;0;680;0;280
3;323698;49948;3277;0;680;3580;272
3;323704;49968;3271;0;680;3580;272
3;323709;49989;3264;0;680;3580;272
3;323715;50009;3258;0;680;3580;260
3;323720;50029;3250;0;670;3580;260
3;323725;50049;3239;0;670;3580;252
3;323731;50070;3231;0;670;3550;252
3;323736;50090;3225;0;670;3550;252
3;323741;50110;3218;0;670;3550;244
3;323747;50130;3211;0;670;3550;244
3;323752;50149;3204;0;670;3550;244
3;323757;50167;3198;0;660;3560;236
3;323763;50185;3189;0;660;3560;228
3;323768;50201;3182;0;660;3530;220
3;323773;50219;3169;0;660;3530;212
3;323779;50234;3154;0;650;3540;204
3;323784;50248;3140;0;650;3540;192
3;323790;50261;3126;0;650;3540;184
3;323795;50273;3109;0;640;3540;176
3;323800;50277;3065;0;640;3540;176
3;323806;50289;3021;0;640;3540;0
1;323807;50289;2979;6739;640;3540;0
1;323808;50289;2979;7507;630;3540;0
1;323808;50289;2979;9220;630;3540;0
1;323814;50289;2979;10820;630;3540;0
1;323819;50289;2979;11941;630;3540;0
1;323824;50198;2874;12565;630;3540;0
1;323830;50157;2861;12725;630;3540;0
1;323835;50109;2853;13013;630;3540;0
1;323841;50056;2853;13013;630;3540;0
1;323846;50002;2855;12933;630;3540;0
1;323851;49946;2875;12821;630;3540;0
1;323857;49895;2907;12725;630;3560;0
1;323862;49851;2949;12709;630;3560;0
1;323867;49814;2999;12533;630;3560;0
1;323873;49791;3054;12437;630;3560;0
1;323878;49780;3113;12405;630;3560;0
1;323883;49780;3169;12181;630;3560;0
1;323889;49791;3225;12101;630;3580;0
1;323894;49817;3276;12053;630;3580;0
1;323900;49854;3323;11989;630;3580;0
1;323905;49895;3360;11637;630;3580;0
1;323910;49940;3389;11637;630;3580;0
1;323916;49987;3409;11717;630;3580;0
1;323921;50031;3418;11813;630;3580;0
1;323926;50073;3419;12437;630;3580;0
1;323932;50114;3419;13478;630;3580;0
1;323937;50153;3404;14950;630;3580;0
1;323942;50187;3382;16535;630;3580;0
1;323948;50219;3352;18280;630;3580;0
1;323953;50244;3315;18888;630;3580;0
1;323959;50263;3276;20681;630;3580;0
1;323964;50277;3234;21850;630;3560;0
1;323969;50286;3190;22026;630;3560;0
1;323975;50288;3146;21850;630;3560;0
1;323980;50288;3100;21737;630;3560;0
1;323985;50281;3056;20185;630;3560;0
1;323991;50264;3018;18248;630;3560;0
1;323996;50237;2990;14950;630;3560;0
1;324001;50214;2973;9124;630;3560;0
1;324007;50159;2975;1744;630;3540;0
3;324012;50159;2975;0;630;3540;0
3;324017;50054;3031;0;630;3540;20
3;324023;50000;3075;0;630;3540;40
3;324028;49975;3113;0;640;3540;60
3;324034;49941;3177;0;640;3560;92
3;324039;49898;3276;0;650;3560;112
3;324044;49855;3414;0;640;3560;144
3;324050;49813;3576;0;650;3560;156
3;324055;49784;3736;0;650;3560;164
3;324060;49769;3888;0;660;3580;176
3;324066;49768;4005;0;660;3580;164
3;324071;49766;4099;0;660;3580;164
3;324076;49766;4172;0;670;3580;164
3;324082;49775;4222;0;670;0;156
3;324087;49787;4267;0;670;0;156
3;324093;49801;4307;0;670;0;144
3;324098;49819;4353;0;670;0;132
3;324103;49841;4401;0;670;0;124
3;324109;49864;4451;0;670;0;112
