EventType;T;X;Y;P;Altitude;Azimuth;Distance
1;304279;47219;2053;1488;680;3480;0
1;304280;47219;2053;2449;670;3480;0
1;304281;47219;2053;3345;670;3480;0
1;304282;47219;2053;4289;670;3480;0
1;304282;47219;2053;5298;670;3480;0
1;304288;47219;2053;6162;670;3480;0
1;304293;47219;2053;7011;670;3480;0
1;304298;47219;2053;7763;670;3480;0
1;304304;47219;2053;8515;670;3480;0
1;304309;47219;2053;9140;670;3480;0
1;304314;47219;2053;9684;670;3480;0
1;304320;47219;2053;10180;670;3480;0
1;304325;47219;2053;10676;670;3480;0
1;304330;47219;2053;11205;670;3480;0
1;304336;47216;1993;11765;670;3480;0
1;304341;47210;1989;12309;670;3480;0
1;304347;47203;1985;12917;670;3480;0
1;304352;47196;1981;13558;670;3480;0
1;304357;47188;1976;14230;670;3480;0
1;304363;47179;1971;14822;670;3480;0
1;304368;47169;1965;15351;670;3480;0
1;304373;47157;1959;15751;670;3480;0
1;304379;47145;1953;16151;670;3480;0
1;304384;47133;1946;16471;670;3480;0
1;304389;47121;1939;16599;670;3480;0
1;304395;47108;1931;16663;670;3480;0
1;304400;47095;1922;16791;670;3480;0
1;304406;47082;1914;16839;670;3480;0
1;304411;47070;1905;16871;670;3480;0
1;304416;47059;1897;16999;670;3480;0
1;304422;47048;1890;17207;670;3480;0
1;304427;47038;1884;17447;670;3480;0
1;304432;47028;1878;17800;670;3480;0
1;304438;47019;1873;18104;670;3480;0
1;304443;47010;1869;18376;670;3480;0
1;304448;47000;1865;18600;670;3480;0
1;304454;46990;1861;18776;670;3480;0
1;304459;46979;1858;18776;670;3480;0
1;304464;46967;1855;18760;670;3480;0
1;304470;46954;1852;18760;670;3480;0
1;304475;46940;1850;18760;670;3510;0
1;304481;46923;1848;18664;670;3510;0
1;304486;46903;1848;18616;670;3510;0
1;304491;46881;1848;18584;670;3510;0
1;304497;46857;1848;18488;660;3510;0
1;304502;46834;1850;18456;660;3510;0
1;304507;46810;1859;18360;660;3530;0
1;304513;46784;1871;18328;660;3530;0
1;304518;46759;1886;18296;660;3530;0
1;304523;46734;1903;18232;660;3530;0
1;304529;46710;1923;18168;660;3530;0
1;304534;46689;1945;17976;660;3530;0
1;304540;46670;1970;17976;660;3530;0
1;304545;46652;1995;18024;660;3530;0
1;304550;46636;2022;18024;670;3530;0
1;304556;46624;2048;17944;670;3550;0
1;304561;46614;2076;17896;670;3550;0
1;304566;46608;2104;17880;670;3550;0
1;304572;46605;2131;17880;670;3550;0
1;304577;46603;2157;17896;670;3550;0
1;304582;46603;2183;17896;670;3550;0
1;304588;46603;2206;17736;670;3550;0
1;304593;46603;2230;17688;670;3550;0
1;304598;46608;2251;17656;670;3550;0
