EventType;T;X;Y;P;Altitude;Azimuth;Distance
1;63792;12461;2280;464;610;3580;0
1;63793;12461;2280;1072;610;3580;0
1;63795;12461;2280;1856;610;3580;0
1;63800;12461;2280;2753;610;3580;0
1;63806;12461;2280;3713;610;3580;0
1;63811;12461;2280;4626;610;3580;0
1;63816;12461;2280;5538;610;3580;0
1;63822;12461;2280;6258;610;3580;0
1;63827;12461;2280;6723;610;3580;0
1;63833;12461;2280;6979;610;3580;0
1;63838;12461;2280;7139;610;3580;0
1;63843;12461;2280;7459;600;3580;0
1;63849;12425;2287;7715;600;3580;0
1;63854;12417;2299;7731;600;3580;0
1;63859;12409;2314;7843;600;3580;0
1;63865;12400;2331;7907;600;3580;0
1;63870;12390;2350;7907;600;3580;0
1;63875;12381;2369;7779;600;3580;0
1;63881;12372;2389;7683;600;3580;0
1;63886;12364;2410;7571;600;3580;0
1;63891;12357;2429;7443;600;3580;0
1;63897;12351;2448;7283;600;3580;0
1;63902;12347;2463;7283;600;3580;0
1;63908;12343;2477;7331;600;3580;0
1;63913;12340;2486;7427;600;3580;0
1;63918;12338;2493;7651;600;0;0
1;63924;12336;2498;7955;600;0;0
1;63929;12335;2501;8419;600;0;0
1;63934;12334;2501;9124;600;0;0
1;63940;12333;2501;9892;600;0;0
1;63945;12333;2501;10580;600;0;0
1;63950;12332;2495;11093;600;0;0
1;63956;12332;2486;11269;600;0;0
1;63961;12332;2473;11717;600;0;0
1;63967;12332;2460;12293;600;0;0
1;63972;12332;2444;12341;600;0;0
1;63977;12332;2427;12341;600;0;0
1;63983;12332;2410;12437;600;0;0
1;63988;12333;2394;12517;600;0;0
1;63993;12338;2379;12517;600;0;0
1;63999;12343;2367;12421;600;0;0
1;64004;12350;2359;12213;600;0;0
1;64009;12360;2353;12053;590;0;0
1;64015;12372;2351;11861;590;0;0
1;64020;12387;2351;11653;590;0;0
1;64026;12405;2351;11381;590;0;0
1;64031;12423;2358;11157;590;0;0
1;64036;12441;2369;10949;590;0;0
