EventType;T;X;Y;P;Altitude;Azimuth;Distance
3;52953;9371;24930;0;600;70;421
3;52958;9391;24930;0;600;70;409
3;52964;9398;24930;0;600;70;401
3;52969;9436;24930;0;600;70;393
3;52975;9479;24930;0;600;70;381
3;52980;9526;24927;0;600;50;373
3;52985;9577;24917;0;600;50;373
3;52991;9622;24912;0;600;50;361
3;52996;9664;24906;0;600;50;361
3;53001;9704;24890;0;600;50;361
3;53007;9742;24867;0;600;50;361
3;53012;9776;24844;0;600;50;373
3;53017;9806;24814;0;600;30;373
3;53023;9831;24793;0;610;40;373
3;53028;9851;24774;0;610;40;373
3;53034;9858;24758;0;610;40;373
3;53039;9865;24753;0;610;40;373
3;53044;9870;24749;0;610;40;361
3;53050;9875;24746;0;610;20;361
3;53055;9885;24745;0;610;20;353
3;53060;9893;24739;0;610;20;353
3;53066;9898;24736;0;610;20;353
3;53071;9901;24735;0;610;20;341
3;53076;9902;24735;0;610;20;332
3;53082;9902;24735;0;610;20;332
3;53087;9902;24735;0;610;20;320
3;53092;9897;24735;0;610;20;320
3;53098;9884;24735;0;610;20;312
3;53103;9868;24734;0;610;20;312
3;53109;9848;24732;0;610;20;304
3;53114;9835;24728;0;610;20;292
3;53119;9830;24724;0;610;20;284
3;53125;9827;24721;0;610;20;272
3;53130;9824;24716;0;610;20;264
3;53135;9813;24710;0;610;20;252
3;53141;9811;24704;0;610;20;244
3;53146;9811;24698;0;610;20;232
3;53151;9812;24690;0;610;20;224
3;53157;9828;24676;0;610;20;224
3;53162;9841;24660;0;610;20;212
3;53168;9855;24647;0;610;20;204
3;53173;9871;24632;0;610;20;196
3;53178;9885;24618;0;610;20;184
3;53184;9898;24604;0;610;20;176
3;53189;9910;24589;0;610;20;176
3;53194;9920;24577;0;610;20;164
3;53200;9924;24565;0;610;20;156
3;53205;9932;24552;0;610;20;156
3;53210;9939;24541;0;610;20;144
3;53216;9944;24531;0;610;20;144
3;53221;9949;24528;0;610;20;136
3;53226;9953;24518;0;610;20;136
3;53232;9957;24511;0;610;20;124
3;53237;9961;24505;0;610;20;124
3;53243;9966;24499;0;610;20;124
3;53248;9970;24492;0;610;20;116
3;53253;9976;24486;0;610;20;116
3;53259;9986;24480;0;610;20;104
3;53264;9994;24468;0;600;20;104
3;53269;10004;24459;0;600;20;96
3;53275;10015;24450;0;600;20;88
3;53280;10026;24439;0;600;20;88
3;53285;10038;24427;0;600;20;76
3;53291;10050;24415;0;600;20;68
3;53296;10062;24404;0;600;20;68
3;53302;10073;24391;0;600;20;56
3;53307;10085;24379;0;600;20;56
3;53312;10097;24368;0;600;20;56
3;53318;10107;24358;0;600;20;48
3;53323;10117;24347;0;600;20;48
3;53328;10125;24339;0;600;20;48
3;53334;10133;24331;0;600;20;48
3;53339;10140;24324;0;600;20;36
3;53344;10145;24318;0;600;20;36
3;53350;10150;24312;0;600;20;36
3;53355;10154;24306;0;600;20;36
3;53361;10156;24301;0;600;20;36
3;53366;10158;24296;0;600;20;36
