EventType;T;X;Y;P;Altitude;Azimuth;Distance
3;29833;2016;19826;0;640;130;208
3;29839;2016;19834;0;640;130;312
3;29844;2017;19845;0;640;130;312
3;29850;2020;19847;0;640;150;312
3;29855;2026;19864;0;630;140;304
3;29860;2029;19910;0;630;140;292
3;29866;2044;19941;0;630;140;280
3;29871;2064;19948;0;630;160;272
3;29876;2070;19953;0;630;160;272
3;29882;2078;19958;0;630;160;272
3;29887;2099;19981;0;630;160;272
3;29892;2108;19981;0;630;160;272
3;29898;2131;19981;0;630;180;272
3;29903;2140;19980;0;630;180;272
3;29908;2167;19976;0;630;180;272
3;29914;2195;19966;0;630;200;272
3;29919;2217;19951;0;630;200;272
3;29925;2234;19933;0;630;200;260
3;29930;2248;19928;0;630;200;260
3;29935;2253;19924;0;630;200;260
3;29941;2258;19920;0;630;200;260
3;29946;2261;19912;0;630;200;260
3;29951;2276;19902;0;620;220;252
3;29957;2286;19899;0;610;210;252
3;29962;2289;19898;0;610;210;252
3;29967;2295;19898;0;610;230;252
3;29973;2300;19898;0;610;230;252
3;29978;2302;19898;0;610;230;260
3;29984;2306;19902;0;610;230;260
3;29989;2309;19910;0;610;230;252
3;29994;2309;19914;0;600;220;252
3;30000;2309;19917;0;600;230;252
3;30005;2309;19918;0;600;230;240
3;30010;2303;19918;0;600;230;240
3;30016;2296;19918;0;600;230;228
3;30021;2288;19909;0;600;230;228
3;30026;2281;19888;0;590;230;220
3;30032;2275;19868;0;600;230;220
3;30037;2268;19844;0;600;250;208
3;30043;2265;19818;0;600;250;208
3;30048;2262;19789;0;590;270;196
3;30053;2261;19759;0;590;270;196
3;30059;2260;19728;0;590;270;188
3;30064;2260;19698;0;590;280;176
3;30069;2260;19668;0;590;280;168
3;30075;2260;19641;0;580;300;156
3;30080;2259;19616;0;580;300;144
3;30085;2258;19594;0;580;310;136
3;30091;2257;19574;0;580;310;124
3;30096;2256;19555;0;580;330;112
3;30101;2255;19539;0;580;330;112
3;30107;2255;19524;0;580;330;104
3;30112;2255;19510;0;570;340;104
3;30118;2255;19498;0;570;340;92
3;30123;2255;19487;0;570;360;84
3;30128;2255;19477;0;570;360;72
3;30134;2256;19469;0;570;360;60
3;30139;2259;19462;0;570;380;52
3;30144;2263;19457;0;570;380;40
3;30150;2268;19454;0;570;380;28
3;30155;2274;19451;0;570;380;28
3;30160;2281;19449;0;560;400;20
3;30166;2288;19447;0;560;400;20
3;30171;2296;19443;0;560;400;0
3;30177;2304;19437;0;560;400;0
3;30182;2314;19431;0;560;410;0
3;30187;2323;19424;0;560;410;0
3;30193;2332;19415;0;560;410;0
3;30198;2342;19406;0;560;410;0
3;30203;2352;19395;0;560;410;0
3;30209;2362;19386;0;560;410;0
3;30214;2372;19378;0;560;410;0
3;30219;2381;19371;0;560;410;0
3;30225;2389;19365;0;560;410;0
3;30230;2397;19362;0;560;410;0
3;30236;2404;19359;0;550;420;0
3;30241;2410;19358;0;550;420;0
3;30246;2417;19356;0;550;420;0
3;30252;2424;19356;0;550;420;0
3;30257;2430;19354;0;550;420;0
3;30262;2436;19352;0;550;420;0
3;30268;2443;19349;0;550;440;0
3;30273;2450;19345;0;550;440;0
3;30278;2458;19339;0;550;440;0
3;30284;2466;19333;0;550;440;0
3;30289;2472;19326;0;540;450;0
3;30294;2476;19318;0;540;450;0
3;30300;2476;19306;0;540;450;0
3;30305;2474;19297;0;540;450;0
1;30306;2464;19289;1744;540;450;0
1;30307;2464;19289;4642;540;450;0
1;30308;2464;19289;5138;540;450;0
1;30309;2464;19289;5858;540;450;0
1;30311;2464;19289;7027;540;460;0
1;30317;2464;19289;7523;540;460;0
1;30322;2464;19289;8451;540;460;0
1;30327;2464;19289;9380;540;460;0
1;30333;2362;19278;10164;540;460;0
1;30338;2338;19278;10788;540;460;0
1;30344;2314;19278;11653;540;460;0
1;30349;2291;19282;12917;540;460;0
1;30354;2267;19287;14230;540;460;0
1;30360;2244;19293;14902;540;460;0
1;30365;2221;19300;15190;540;460;0
1;30370;2199;19307;16087;540;460;0
1;30376;2177;19317;17015;530;470;0
1;30381;2154;19328;17704;530;470;0
1;30386;2131;19342;18088;530;470;0
1;30392;2106;19359;18200;530;470;0
1;30397;2082;19377;18392;530;470;0
1;30402;2057;19398;18488;530;470;0
1;30408;2033;19422;18488;530;470;0
1;30413;2010;19449;18504;530;470;0
1;30419;1989;19476;18520;530;470;0
1;30424;1971;19505;18520;530;470;0
1;30429;1959;19533;18248;530;470;0
1;30435;1952;19561;17896;530;470;0
1;30440;1950;19589;17624;530;470;0
1;30445;1950;19617;17319;530;470;0
1;30451;1954;19644;16999;530;470;0
1;30456;1967;19670;16535;530;470;0
1;30461;1988;19693;16231;530;470;0
1;30467;2010;19716;16167;530;470;0
1;30472;2034;19736;15991;530;470;0
1;30478;2061;19755;15607;530;470;0
1;30483;2088;19770;15335;530;470;0
1;30488;2116;19783;15335;530;470;0
1;30494;2146;19792;15575;530;470;0
1;30499;2173;19799;15575;530;470;0
1;30504;2202;19802;15527;530;470;0
1;30510;2230;19802;15527;530;470;0
1;30515;2259;19802;15687;520;490;0
1;30520;2289;19802;15687;520;490;0
1;30526;2317;19801;15607;520;490;0
1;30531;2346;19796;15463;530;470;0
1;30537;2371;19789;15415;530;470;0
1;30542;2395;19782;15415;530;470;0
1;30547;2415;19774;15671;530;470;0
1;30553;2433;19767;16007;530;470;0
1;30558;2446;19758;16551;530;470;0
1;30563;2456;19749;17159;530;470;0
1;30569;2464;19737;17720;530;470;0
1;30574;2468;19725;18520;530;470;0
1;30579;2469;19711;19336;530;470;0
1;30585;2469;19694;19737;530;470;0
1;30590;2467;19676;20073;530;470;0
1;30595;2458;19655;20073;530;470;0
1;30601;2445;19630;20073;530;470;0
1;30606;2430;19604;19785;530;470;0
1;30612;2412;19577;20025;530;470;0
1;30617;2393;19547;20025;530;470;0
1;30622;2372;19516;20169;530;470;0
1;30628;2352;19485;20169;530;470;0
1;30633;2330;19454;20105;530;470;0
1;30638;2311;19424;19897;530;470;0
