EventType;T;X;Y;P;Altitude;Azimuth;Distance
1;245326;36888;1053;1408;590;280;0
1;245327;36888;1053;3217;590;280;0
1;245328;36888;1053;5010;590;280;0
1;245329;36888;1053;6482;590;280;0
1;245330;36888;1053;7731;590;280;0
1;245332;36888;1053;8916;590;280;0
1;245337;36888;1053;9988;590;280;0
1;245342;36888;1053;11013;590;280;0
1;245348;36888;1053;12005;590;280;0
1;245353;36888;1053;12773;590;280;0
1;245358;36888;1053;13702;590;280;0
1;245364;36888;1053;14614;590;280;0
1;245369;36888;1053;15479;590;270;0
1;245374;37016;1012;16103;590;270;0
1;245380;37049;1009;16487;590;270;0
1;245385;37084;1007;17063;590;270;0
1;245390;37122;1007;17399;590;270;0
1;245396;37159;1007;17640;590;270;0
1;245401;37198;1007;17720;600;250;0
1;245407;37237;1008;17720;600;250;0
1;245412;37276;1015;17656;600;250;0
1;245417;37313;1024;17496;600;250;0
1;245423;37350;1036;17447;600;250;0
1;245428;37385;1051;17207;600;230;0
1;245433;37418;1067;16327;600;230;0
1;245439;37447;1086;15254;600;230;0
1;245444;37473;1104;13462;600;230;0
1;245449;37499;1127;10788;600;230;0
1;245455;37517;1145;6931;600;230;0
1;245460;37520;1185;2032;610;240;0
3;245466;37520;1185;0;610;240;0
3;245471;37498;1246;0;610;240;8
3;245476;37471;1269;0;610;240;8
3;245482;37448;1269;0;610;240;20
3;245487;37428;1264;0;610;240;28
3;245492;37408;1256;0;600;260;40
3;245498;37388;1246;0;600;260;40
3;245503;37369;1235;0;600;260;40
3;245508;37350;1224;0;600;260;40
3;245514;37331;1213;0;600;260;40
3;245519;37314;1201;0;600;260;28
3;245525;37295;1190;0;600;260;20
3;245530;37275;1177;0;600;260;8
3;245535;37253;1161;0;600;260;0
3;245541;37233;1144;0;600;260;0
3;245546;37225;1106;0;600;260;0
3;245551;37224;1078;0;600;260;0
1;245552;37224;1058;6867;600;260;0
1;245553;37224;1058;8419;600;260;0
1;245554;37224;1058;8948;600;260;0
1;245557;37224;1058;9732;600;260;0
1;245562;37224;1058;10708;600;260;0
1;245568;37224;1058;11205;600;260;0
1;245573;37224;1058;11669;600;260;0
1;245578;37224;1058;12277;600;260;0
1;245584;37224;1058;12277;600;260;0
1;245589;37224;1058;11941;600;260;0
1;245594;37224;1058;11301;600;260;0
1;245600;37329;1168;10180;600;260;0
1;245605;37337;1199;8259;600;260;0
1;245610;37339;1223;5090;600;260;0
1;245616;37326;1266;1120;600;260;0
3;245621;37326;1266;0;600;260;0
3;245627;37273;1322;0;600;260;0
3;245632;37241;1345;0;600;260;8
3;245637;37226;1345;0;600;260;20
3;245643;37213;1341;0;600;260;28
3;245648;37199;1335;0;600;280;40
3;245653;37186;1325;0;600;280;40
3;245659;37171;1315;0;600;280;40
3;245664;37156;1303;0;600;280;40
3;245669;37140;1291;0;600;280;28
3;245675;37123;1277;0;600;280;20
3;245680;37101;1263;0;600;280;8
3;245685;37077;1247;0;600;280;8
3;245691;37051;1228;0;600;280;0
3;245696;37022;1207;0;600;290;0
3;245702;36980;1160;0;600;290;0
3;245707;36944;1124;0;600;290;0
1;245708;36915;1096;7427;600;290;0
1;245709;36915;1096;8804;600;290;0
1;245710;36915;1096;8996;590;280;0
1;245716;36915;1096;9044;590;280;0
1;245721;36915;1096;9172;590;280;0
1;245727;36915;1096;9316;590;280;0
1;245732;36915;1096;9332;590;280;0
1;245737;36915;1096;9332;600;290;0
1;245743;36915;1096;9156;600;290;0
1;245748;36915;1096;8579;600;290;0
1;245753;36915;1096;6867;600;290;0
1;245759;36962;1218;3937;600;290;0
1;245764;36984;1288;688;600;290;0
3;245769;36984;1288;0;600;290;0
3;245775;37022;1411;0;600;290;0
3;245780;37044;1475;0;600;300;8
3;245785;37053;1489;0;600;300;20
