EventType;T;X;Y;P;Altitude;Azimuth;Distance
3;202942;33402;1680;0;720;570;425
3;202947;33406;1673;0;720;570;413
3;202952;33410;1666;0;720;520;413
3;202958;33415;1659;0;720;540;405
3;202963;33418;1653;0;720;540;405
3;202968;33421;1649;0;720;540;397
3;202974;33423;1647;0;720;570;397
3;202979;33436;1627;0;720;540;397
3;202984;33452;1606;0;720;540;397
3;202990;33471;1581;0;720;540;397
3;202995;33478;1553;0;710;520;385
3;203001;33499;1533;0;710;520;385
3;203006;33504;1512;0;700;530;385
3;203011;33509;1493;0;700;510;377
3;203017;33514;1471;0;700;510;377
3;203022;33524;1449;0;690;490;365
3;203027;33533;1428;0;690;470;357
3;203033;33547;1407;0;690;470;357
3;203038;33549;1400;0;680;450;345
3;203043;33556;1394;0;680;450;336
3;203049;33559;1386;0;670;450;324
3;203054;33559;1363;0;670;450;316
3;203060;33559;1355;0;660;430;304
3;203065;33559;1335;0;660;430;304
3;203070;33555;1329;0;660;430;296
3;203076;33543;1316;0;650;420;284
3;203081;33523;1296;0;650;430;276
3;203086;33495;1276;0;650;430;264
3;203092;33466;1255;0;640;420;256
3;203097;33428;1251;0;640;420;244
3;203102;33381;1250;0;640;420;236
3;203108;33328;1244;0;630;400;224
3;203113;33269;1244;0;630;400;216
3;203118;33208;1246;0;630;400;216
3;203124;33145;1263;0;630;400;204
3;203129;33083;1276;0;630;390;204
3;203135;33024;1291;0;630;390;196
3;203140;32971;1303;0;630;390;196
3;203145;32929;1309;0;630;390;196
3;203151;32898;1325;0;620;370;188
3;203156;32878;1328;0;620;370;176
3;203161;32863;1336;0;620;370;156
3;203167;32861;1341;0;620;370;148
3;203172;32856;1344;0;620;360;136
3;203177;32856;1344;0;620;340;128
3;203183;32856;1344;0;620;340;128
3;203188;32863;1344;0;620;340;116
3;203194;32873;1334;0;620;340;116
3;203199;32884;1324;0;620;340;116
3;203204;32894;1316;0;620;340;116
3;203210;32898;1311;0;610;330;116
3;203215;32907;1300;0;610;330;108
3;203220;32914;1297;0;610;330;108
3;203226;32920;1292;0;610;330;108
3;203231;32924;1286;0;610;330;108
3;203236;32927;1283;0;610;330;108
3;203242;32929;1280;0;610;330;108
3;203247;32931;1278;0;610;330;116
3;203253;32932;1276;0;610;330;116
3;203258;32932;1274;0;610;330;128
3;203263;32933;1270;0;610;330;128
3;203269;32934;1265;0;610;330;128
