EventType;T;X;Y;P;Altitude;Azimuth;Distance
3;166769;30172;1465;0;710;410;409
3;166774;30186;1459;0;710;410;401
3;166779;30190;1455;0;710;410;401
3;166785;30204;1450;0;710;410;393
3;166790;30210;1446;0;710;410;393
3;166795;30215;1443;0;710;410;393
3;166801;30223;1442;0;710;410;393
3;166806;30246;1430;0;700;430;393
3;166812;30271;1426;0;690;410;393
3;166817;30301;1416;0;690;410;393
3;166822;30307;1408;0;690;410;381
3;166828;30309;1400;0;690;410;381
3;166833;30310;1392;0;690;410;381
3;166838;30310;1384;0;690;410;373
3;166844;30310;1378;0;690;410;361
3;166849;30307;1372;0;690;410;353
3;166854;30286;1368;0;680;390;341
3;166860;30259;1362;0;680;390;332
3;166865;30238;1361;0;680;380;320
3;166871;30216;1361;0;680;380;312
3;166876;30193;1360;0;680;380;304
3;166881;30173;1357;0;670;360;304
3;166887;30170;1355;0;670;360;292
3;166892;30170;1353;0;670;360;292
3;166897;30167;1349;0;670;360;292
3;166903;30175;1342;0;660;340;292
3;166908;30190;1331;0;660;340;284
3;166913;30193;1328;0;660;340;284
3;166919;30194;1322;0;660;340;284
3;166924;30195;1316;0;660;340;284
3;166929;30197;1311;0;650;330;284
3;166935;30197;1305;0;660;310;284
3;166940;30190;1300;0;660;310;284
3;166946;30165;1294;0;660;310;284
3;166951;30142;1287;0;660;310;284
3;166956;30120;1281;0;660;310;284
3;166962;30096;1274;0;660;310;284
3;166967;30078;1267;0;660;310;284
3;166972;30061;1260;0;660;310;284
3;166978;30044;1253;0;660;310;284
3;166983;30027;1246;0;660;310;292
3;166988;30011;1240;0;660;310;292
3;166994;29995;1235;0;650;330;304
3;166999;29980;1228;0;650;330;304
3;167005;29965;1222;0;650;330;312
3;167010;29950;1216;0;650;330;312
3;167015;29936;1210;0;650;330;312
3;167021;29922;1202;0;650;330;320
3;167026;29909;1196;0;650;330;320
3;167031;29897;1189;0;650;330;320
3;167037;29883;1183;0;650;330;320
3;167042;29868;1176;0;650;330;320
3;167047;29850;1165;0;650;320;312
3;167053;29829;1159;0;650;320;304
3;167058;29805;1147;0;650;320;292
3;167064;29782;1142;0;650;320;284
3;167069;29758;1131;0;640;300;272
3;167074;29731;1113;0;640;300;264
3;167080;29706;1093;0;640;300;244
3;167085;29681;1070;0;630;290;232
3;167090;29660;1054;0;630;290;224
3;167096;29644;1041;0;630;290;212
3;167101;29639;1035;0;630;290;204
3;167106;29636;1030;0;620;280;196
3;167112;29629;1021;0;620;280;184
3;167117;29626;1014;0;620;280;176
3;167122;29626;1005;0;620;280;164
3;167128;29627;1000;0;620;280;164
3;167133;29636;998;0;610;270;156
3;167139;29639;997;0;610;270;156
3;167144;29645;997;0;610;270;144
3;167149;29650;1001;0;610;270;144
3;167155;29653;1009;0;610;270;144
3;167160;29655;1015;0;610;270;144
3;167165;29655;1032;0;610;270;144
3;167171;29655;1046;0;600;260;136
3;167176;29655;1062;0;600;260;124
3;167181;29655;1078;0;600;260;124
3;167187;29655;1100;0;600;260;116
3;167192;29654;1124;0;600;260;116
3;167198;29650;1149;0;600;260;116
3;167203;29648;1178;0;600;260;116
3;167208;29646;1201;0;600;260;104
3;167214;29646;1220;0;600;260;104
3;167219;29646;1234;0;600;260;104
3;167224;29646;1238;0;600;260;104
3;167230;29649;1250;0;600;260;104
3;167235;29655;1252;0;600;260;104
3;167240;29661;1255;0;600;260;104
3;167246;29668;1257;0;600;260;104
3;167251;29673;1257;0;600;260;116
3;167257;29677;1257;0;600;260;116
3;167262;29679;1257;0;600;250;116
3;167267;29680;1256;0;600;250;116
3;167273;29680;1253;0;600;250;116
3;167278;29680;1249;0;600;250;104
3;167283;29680;1245;0;600;250;104
3;167289;29680;1242;0;600;250;104
3;167294;29678;1240;0;600;250;104
3;167299;29675;1237;0;600;250;96
3;167305;29673;1234;0;600;250;96
3;167310;29670;1230;0;600;250;96
3;167315;29666;1226;0;600;250;96
3;167321;29663;1222;0;600;250;88
3;167326;29659;1218;0;600;250;88
3;167332;29657;1214;0;600;250;88
3;167337;29654;1210;0;600;250;88
3;167342;29650;1205;0;590;240;88
3;167348;29646;1199;0;590;240;76
3;167353;29642;1195;0;590;240;76
3;167358;29638;1191;0;590;240;76
3;167364;29634;1186;0;590;240;76
3;167369;29630;1181;0;590;240;76
3;167374;29626;1176;0;590;240;76
3;167380;29622;1171;0;590;240;76
3;167385;29617;1166;0;590;240;76
3;167391;29615;1162;0;590;240;88
3;167396;29610;1156;0;590;240;88
3;167401;29605;1150;0;590;240;88
3;167407;29600;1140;0;590;240;88
3;167412;29595;1133;0;590;240;88
3;167417;29589;1130;0;590;240;88
3;167423;29584;1124;0;590;240;88
3;167428;29577;1117;0;590;240;88
3;167433;29567;1112;0;590;240;88
3;167439;29559;1108;0;590;240;88
3;167444;29551;1105;0;590;240;88
3;167450;29542;1100;0;590;240;88
3;167455;29533;1094;0;590;240;96
3;167460;29524;1091;0;590;240;96
3;167466;29513;1083;0;590;240;104
3;167471;29502;1081;0;590;270;104
3;167476;29490;1076;0;590;270;116
3;167482;29479;1073;0;590;270;136
3;167487;29467;1069;0;590;270;144
3;167492;29455;1062;0;590;270;144
3;167498;29443;1060;0;590;270;156
3;167503;29430;1056;0;590;270;164
3;167508;29417;1052;0;600;280;164
3;167514;29404;1052;0;600;280;176
3;167519;29392;1050;0;600;280;176
3;167525;29380;1050;0;600;280;176
3;167530;29369;1050;0;600;280;176
3;167535;29357;1050;0;600;280;184
3;167541;29346;1050;0;600;280;184
3;167546;29335;1051;0;600;280;196
3;167551;29325;1056;0;600;280;196
3;167557;29321;1061;0;600;280;204
3;167562;29306;1069;0;600;280;212
3;167567;29303;1072;0;600;300;224
3;167573;29299;1080;0;600;300;232
3;167578;29291;1090;0;600;300;244
3;167584;29289;1093;0;610;320;264
3;167589;29283;1096;0;610;320;272
3;167594;29278;1101;0;620;330;292
3;167600;29275;1106;0;620;330;312
3;167605;29272;1110;0;630;340;341
3;167610;29267;1119;0;640;350;361
3;167616;29262;1125;0;640;370;381
3;167621;29256;1133;0;660;400;401
3;167626;29249;1143;0;670;410;421
3;167632;29243;1159;0;680;450;441
3;167637;29229;1167;0;700;470;449
3;167643;29209;1187;0;720;540;461
3;167648;29184;1211;0;720;610;461
3;167653;29184;1211;0;900;0;461
3;169073;29718;1720;0;770;940;461
3;169079;29724;1718;0;770;940;461
3;169084;29733;1705;0;760;940;449
3;169089;29745;1703;0;760;860;449
3;169095;29751;1692;0;760;860;441
3;169100;29756;1684;0;760;820;429
3;169105;29760;1680;0;770;770;421
3;169111;29760;1676;0;760;730;409
3;169116;29768;1673;0;760;690;401
3;169122;29773;1664;0;760;660;393
3;169127;29776;1657;0;750;620;373
3;169132;29777;1648;0;740;560;353
3;169138;29777;1637;0;740;530;332
3;169143;29777;1630;0;730;500;312
3;169148;29771;1621;0;720;450;284
3;169154;29755;1614;0;710;430;264
3;169159;29722;1601;0;710;410;244
3;169164;29699;1596;0;690;370;232
3;169170;29678;1590;0;690;370;224
3;169175;29659;1577;0;680;350;224
3;169181;29643;1563;0;670;340;224
3;169186;29625;1558;0;670;340;232
3;169191;29605;1554;0;670;340;244
3;169197;29580;1550;0;670;340;264
3;169202;29552;1541;0;670;340;272
3;169207;29521;1536;0;670;340;284
3;169213;29487;1533;0;670;320;284
3;169218;29454;1533;0;670;320;292
3;169223;29420;1533;0;670;320;284
3;169229;29388;1533;0;670;320;284
3;169234;29357;1538;0;660;310;272
3;169239;29331;1543;0;660;310;264
3;169245;29309;1555;0;660;310;244
