EventType;T;X;Y;P;Altitude;Azimuth;Distance
3;294840;49167;1551;0;700;620;445
3;294846;49167;1538;0;700;620;405
3;294851;49166;1525;0;700;620;397
3;294856;49164;1521;0;690;590;385
3;294862;49180;1487;0;690;590;377
3;294867;49184;1454;0;690;590;365
3;294872;49190;1422;0;690;570;357
3;294878;49194;1389;0;690;590;357
3;294883;49198;1384;0;690;590;357
3;294888;49207;1380;0;690;590;365
3;294894;49207;1377;0;690;590;365
3;294899;49182;1374;0;690;590;365
3;294905;49145;1369;0;690;590;365
3;294910;49117;1367;0;690;590;357
3;294915;49087;1367;0;690;570;345
3;294921;49060;1370;0;690;570;336
3;294926;49033;1391;0;690;570;324
3;294931;49007;1423;0;690;570;316
3;294937;48984;1467;0;680;550;296
3;294942;48962;1503;0;680;520;284
3;294947;48943;1539;0;680;520;264
3;294953;48929;1576;0;670;500;256
3;294958;48916;1612;0;670;500;244
3;294963;48905;1645;0;670;500;236
3;294969;48895;1673;0;670;490;224
3;294974;48892;1695;0;670;490;224
3;294980;48889;1708;0;660;470;216
3;294985;48883;1709;0;660;470;204
3;294990;48880;1710;0;660;470;196
3;294996;48880;1712;0;660;430;188
3;295001;48880;1712;0;660;430;176
3;295006;48883;1698;0;660;430;156
3;295012;48900;1681;0;650;420;148
3;295017;48915;1660;0;660;400;136
3;295022;48934;1637;0;650;380;116
3;295028;48954;1610;0;650;380;108
3;295033;48975;1582;0;650;380;96
3;295039;48996;1554;0;640;370;96
3;295044;49017;1526;0;640;370;88
3;295049;49039;1495;0;640;370;88
3;295055;49059;1466;0;640;370;76
3;295060;49079;1435;0;640;350;76
3;295065;49099;1404;0;630;370;76
3;295071;49114;1378;0;630;370;76
3;295076;49119;1356;0;630;370;88
3;295081;49129;1339;0;630;370;88
3;295087;49137;1326;0;630;370;88
3;295092;49145;1312;0;630;370;88
3;295097;49158;1295;0;630;370;96
3;295103;49170;1278;0;620;360;96
3;295108;49182;1259;0;620;360;96
3;295114;49193;1243;0;620;360;108
3;295119;49203;1230;0;620;360;108
3;295124;49213;1219;0;620;360;108
3;295130;49222;1216;0;620;360;108
3;295135;49225;1210;0;620;360;108
3;295140;49234;1207;0;620;360;108
3;295146;49246;1207;0;620;360;116
3;295151;49249;1207;0;620;360;116
3;295156;49255;1212;0;620;360;116
3;295162;49258;1216;0;620;360;128
3;295167;49260;1230;0;620;360;128
3;295173;49260;1238;0;620;360;136
3;295178;49260;1243;0;620;360;136
3;295183;49260;1256;0;630;370;136
3;295189;49260;1259;0;630;370;148
3;295194;49260;1264;0;630;370;148
3;295199;49260;1269;0;640;390;148
3;295205;49260;1276;0;640;390;156
3;295210;49260;1279;0;640;390;156
3;295215;49260;1284;0;640;390;156
3;295221;49260;1291;0;640;390;148
3;295226;49260;1296;0;640;390;148
3;295232;49260;1301;0;640;390;148
3;295237;49260;1306;0;640;390;136
3;295242;49260;1310;0;640;390;136
3;295248;49260;1313;0;640;390;136
3;295253;49261;1316;0;640;390;128
3;295258;49261;1317;0;640;390;128
