EventType;T;X;Y;P;Altitude;Azimuth;Distance
1;58246;7359;1922;688;570;280;0
1;58247;7359;1922;1360;570;280;0
1;58248;7359;1922;1984;570;280;0
1;58249;7359;1922;2481;570;280;0
1;58250;7359;1922;3025;570;280;0
1;58251;7359;1922;3585;570;280;0
1;58252;7359;1922;4225;570;280;0
1;58253;7359;1922;4994;570;280;0
1;58254;7359;1922;5810;560;270;0
1;58255;7359;1922;6530;560;270;0
1;58256;7359;1922;7219;560;270;0
1;58256;7359;1922;7827;560;270;0
1;58261;7359;1922;8419;560;270;0
1;58267;7359;1922;8948;560;270;0
1;58272;7359;1922;9364;560;270;0
1;58277;7359;1922;9572;560;270;0
1;58283;7359;1922;9700;560;270;0
1;58288;7359;1922;9876;560;270;0
1;58293;7359;1922;10020;560;270;0
1;58299;7359;1922;10100;560;270;0
1;58304;7339;1834;10180;560;270;0
1;58309;7339;1826;10180;560;270;0
1;58315;7339;1817;10180;560;270;0
1;58320;7342;1809;10052;560;270;0
1;58326;7347;1801;10052;560;270;0
1;58331;7354;1792;10084;560;270;0
1;58336;7362;1783;10084;560;270;0
1;58342;7373;1772;10068;560;270;0
1;58347;7388;1761;10004;560;270;0
1;58352;7404;1749;10004;560;270;0
1;58358;7425;1738;10052;560;270;0
1;58363;7446;1727;10356;560;270;0
1;58368;7467;1717;10500;560;270;0
1;58374;7491;1706;10516;560;270;0
1;58379;7514;1697;10500;560;270;0
1;58385;7537;1688;10468;560;270;0
1;58390;7561;1681;10372;560;270;0
1;58395;7583;1675;10340;560;260;0
1;58401;7604;1669;10244;560;260;0
1;58406;7624;1665;10068;560;260;0
1;58411;7645;1661;10004;560;260;0
1;58417;7664;1658;9940;560;260;0
1;58422;7682;1658;9940;560;260;0
1;58427;7698;1658;9780;560;260;0
1;58433;7714;1658;9604;560;260;0
1;58438;7727;1658;9540;560;260;0
1;58443;7739;1664;9396;560;260;0
1;58449;7748;1670;9076;560;260;0
1;58454;7755;1681;8595;560;260;0
1;58460;7759;1692;8307;560;260;0
1;58465;7760;1705;8163;560;260;0
1;58470;7760;1721;7987;560;260;0
1;58476;7760;1737;7699;560;260;0
1;58481;7754;1753;7363;570;240;0
1;58486;7745;1771;7251;570;240;0
